Timestamp (Seconds Since Epoch),Cond S/cm,nLF Cond S/cm,ODO % sat,ODO % local,ODO mg/L,Sal psu,SpCond S/cm,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp C,Battery V,Cable Pwr V,Lat,Lon
1651339080,4.1,5.3,60.3,70.9,6.01,0.15,315.1,205,122.12,0,8.19,-81.4,15.517,5.2,0,35.0068813593772,-106.679809202034
1651339200,258,319.7,60.2,70.7,5.99,0.15,314.2,204,114.16,0,8.18,-80.8,15.55,5.22,0,35.0061591245627,-106.680792638174
1651339320,257.5,318.8,60.1,70.7,5.99,0.15,313.6,204,103.73,0,8.18,-80.6,15.563,5.23,0,35.0052431278325,-106.682256474252
1651339440,257.1,318.2,60.2,70.7,5.99,0.15,313.6,204,103.69,0,8.18,-80.7,15.568,5.19,0,35.0044687102352,-106.683584523225
1651339560,257.1,318.1,60.2,70.7,5.99,0.15,314,204,105.03,0,8.18,-80.5,15.601,5.22,0,35.0041722715849,-106.684422947956
1651339680,257.6,318.6,60.2,70.8,5.99,0.15,313.8,204,101.97,0,8.18,-80.5,15.62,5.21,0,35.003315515257,-106.684914764831
1651339800,257.6,318.4,60.2,70.8,5.98,0.15,318.4,207,143.45,0,8.18,-80.8,15.66,5.24,0,35.0024839315809,-106.685178877211
1651339920,261.6,323.1,60.2,70.7,5.97,0.16,334.9,218,152.98,0,8.19,-81.4,15.714,5.23,0,35.0016594168031,-106.685572362332
1651340040,275.5,339.7,60.2,70.8,5.97,0.16,338.6,220,117.64,0,8.2,-81.6,15.74,5.26,0,35.0008710642692,-106.68599053029
1651340160,278.7,343.5,59.5,69.9,5.8,0,9,6,9.67,0,7.81,-58.6,16.55,5.21,0,34.9997055041112,-106.686820477315
1651340280,7.5,9.1,59.8,70.2,5.95,0.15,317.1,206,112.87,0,8.15,-78.8,15.536,5.14,0,34.9988027120837,-106.687379940934
1651340400,259.7,321.7,59.6,70,5.94,0.15,316.5,206,117.32,0,8.15,-79,15.526,5.15,0,34.9978680903504,-106.687539856326
1651340520,259.2,321.1,59.5,69.9,5.93,0.15,316.6,206,112.4,0,8.16,-79.6,15.495,5.17,0,34.9968992832377,-106.687566264244
1651340640,259.1,321.2,59.5,70,5.95,0.15,318.6,207,113.9,0,8.16,-79.6,15.386,5.16,0,34.996196286309,-106.687520708665
