DateTime,Lat,Lon,DO,SpCond,pH,Temperature,Turbidity,Altitude,Distance
5/19/2022 11:22,35.27833686,-106.5982472,6.86,273.3,8.13,17.096,31.98,1534,0.6858
5/19/2022 11:24,35.27783335,-106.5977366,6.84,273.4,8.1,17.081,32.4,1534,61.5577
5/19/2022 11:26,35.27642503,-106.5967064,6.84,273.4,8.11,17.096,31.84,1534,251.8491
5/19/2022 11:28,35.27541507,-106.5962449,6.83,273.4,8.12,17.125,32.19,1534.51,376.2052
5/19/2022 11:30,35.27427833,-106.5965129,6.86,273.3,8.1,17.23,31.58,1534.89,521.0569
5/19/2022 11:32,35.2736212,-106.5966047,6.83,273.5,8.13,17.184,31.21,1535,602.0596
5/19/2022 11:34,35.27318054,-106.5969056,6.86,273.4,8.13,17.243,37.33,1534.71,664.4224
5/19/2022 11:36,35.27323677,-106.5969789,6.87,273.7,8,17.408,30.35,1534.63,678.6189
5/19/2022 11:38,35.2732212,-106.5970584,6.87,273.7,8,17.184,30.35,1534.53,686.2265
5/19/2022 11:40,35.27270574,-106.5974825,6.87,273.7,8,16.773,30.35,1534.02,757.4901
5/19/2022 11:42,35.27251441,-106.5976185,6.87,273.7,8,16.563,30.35,1534,788.9633
5/19/2022 11:44,35.27140612,-106.5980836,6.87,273.9,8.12,17.434,30.67,1534,925.0496
5/19/2022 11:46,35.27067747,-106.5979608,6.87,274,8.13,17.369,32.26,1534.21,1006.8677
5/19/2022 11:48,35.26925928,-106.5979043,6.84,274.1,8.12,17.297,32.59,1534.94,1158.1721
5/19/2022 11:50,35.26787161,-106.5973323,6.85,274,8.13,17.33,32.67,1533,1329.5159
5/19/2022 11:52,35.26667405,-106.5968706,6.85,273.9,8.13,17.389,33.36,1533.49,1470.3461
5/19/2022 11:54,35.26574419,-106.595885,6.84,273.7,8.14,17.417,32.12,1533,1617.1955
5/19/2022 11:56,35.26443092,-106.595463,6.85,273.7,8.15,17.477,33.85,1533,1771.4003
5/19/2022 11:58,35.26341912,-106.5953316,6.84,273.7,8.12,17.47,32.37,1533,1884.6452
5/19/2022 12:00,35.26212749,-106.5953034,6.84,273.7,8.14,17.521,32.48,1533,2033.2202
5/19/2022 12:02,35.26069631,-106.5954282,6.83,273.9,8.14,17.554,32.69,1533.08,2193.4609
5/19/2022 12:04,35.25932702,-106.5954077,6.83,273.8,8.13,17.6,31.12,1534.28,2344.9931
5/19/2022 12:06,35.25830002,-106.5953451,6.84,299.6,8.11,17.822,34.5,1534.48,2461.2685
5/19/2022 12:08,35.25716387,-106.5949427,6.83,273.9,8.14,17.67,33.82,1534.61,2597.4775
5/19/2022 12:10,35.25617647,-106.5945688,6.83,275.9,8.13,17.686,32.03,1534.84,2709.0878
5/19/2022 12:12,35.25514121,-106.5938147,6.83,277.7,8.13,17.718,34.24,1535.17,2843.843
5/19/2022 12:14,35.25451036,-106.5929407,6.83,276.9,8.15,17.746,33.42,1532.31,2954.1564
5/19/2022 12:16,35.25398198,-106.5920927,6.83,276,8.15,17.787,33.12,1532,3052.2968
5/19/2022 12:18,35.25071645,-106.5909068,6.83,276.7,8.13,17.797,32.14,1532,3144.2734
