Date and Time in UTC-7,Y4000DOmgL,Y4000Cond,Y4000pH,Y4000Temp,Y4000Potential,Y4000Chloro,Y4000BGA,Battery,decibelMiliWatt,Lat,Lon
2022-04-30 10:56:00,7.58,6.2,5.67,18,0,0,0,4.655,-57,35.0263376,-106.6741074
2022-04-30 10:58:00,7.45,6.2,7.51,18.1,0,0,0,4.078,-57,35.0262992,-106.6741411
2022-04-30 11:00:00,7.52,5.9,6.99,17.3,0,0,0,4.078,-57,35.0263426,-106.6740568
2022-04-30 11:02:00,7.56,6.3,6.91,16.8,0,0,0,4.078,-57,35.0262924,-106.6741177
2022-04-30 11:04:00,7.58,6,6.96,16.9,0,0,0,4.078,-57,35.0263147,-106.6741138
2022-04-30 11:06:00,7.55,5.8,6.98,16.6,0,0,0,4.078,-57,35.0264361,-106.6741851
2022-04-30 11:08:00,7.54,6,6.8,17,0,0,0,4.078,-45,35.0264931,-106.6742125
2022-04-30 11:11:00,7.44,5,6.99,17.4,0,0,0,4.078,-45,35.0264877,-106.6741892
2022-04-30 11:13:00,7.52,5.9,7.15,17.4,0,0,0,4.078,-45,35.0267943,-106.6741246
2022-04-30 11:15:00,7.41,5.3,7.09,17.8,0,0,0,4.078,-45,35.0269789,-106.6741413
2022-04-30 11:17:00,7.38,5.5,6.84,17.8,0,0,0,4.078,-57,35.0270173,-106.6736728
2022-04-30 11:19:00,7.31,325.7,6.89,18.4,0,0,0,4.078,-57,35.0270411,-106.6736155
2022-04-30 11:21:00,7.8,318.1,7.78,15.8,0,0,0,4.078,-57,35.0270404,-106.6735629
2022-04-30 11:23:00,7.81,319.1,7.78,15.7,0,0,0,4.078,-57,35.0270036,-106.6735135
2022-04-30 11:26:00,7.81,318.1,7.78,15.7,0,0,0,4.078,-57,35.0270478,-106.6735596
2022-04-30 11:28:00,7.83,317.7,7.78,15.7,0,0,0,4.048,-57,35.0270754,-106.6735369
2022-04-30 11:30:00,7.82,318.4,7.78,15.7,0,0,0,4.063,-57,35.0269991,-106.673576
2022-04-30 11:32:00,7.83,316.6,7.78,15.7,0,0,0,4.078,-57,35.0270074,-106.6734718
2022-04-30 11:34:00,7.83,313.9,7.78,15.7,0,0,0,4.063,-57,35.0269713,-106.6735411
2022-04-30 11:36:00,7.83,317.2,7.76,15.5,0,0,0,4.063,-57,35.0268655,-106.6735596
2022-04-30 11:38:00,7.98,7.5,7.66,14.9,0,0,0,4.078,-57,35.0270158,-106.6735337
2022-04-30 11:40:00,7.92,318.7,7.44,15.2,0,0,0,4.063,-57,35.0257121,-106.6731725
2022-04-30 11:42:00,7.79,318,7.77,15.5,0,0,0,4.063,-57,35.0245846,-106.6729121
2022-04-30 11:45:00,7.78,317.5,7.77,15.5,0,0,0,4.063,-69,35.0231725,-106.672752
2022-04-30 11:48:00,7.76,317.9,7.77,15.5,0,0,0,4.063,-45,35.0216609,-106.6729702
2022-04-30 11:51:00,7.76,318.5,7.77,15.5,0,0,0,4.063,-57,35.0200298,-106.6728849
2022-04-30 11:53:00,7.77,317.9,7.77,15.5,0,0,0,4.063,-57,35.0191818,-106.6723257
2022-04-30 11:55:00,7.77,318.5,7.77,15.5,0,0,0,4.048,-45,35.0182619,-106.6718601
2022-04-30 11:57:00,7.77,318.1,7.77,15.6,0,0,0,4.048,-57,35.0174418,-106.6715491
2022-04-30 12:00:00,7.77,320.4,7.74,15.8,0,0,0,4.063,-57,35.0154322,-106.6716688
2022-04-30 12:03:00,7.76,323.3,7.75,15.8,0,0,0,4.063,-57,35.0141001,-106.6725463
2022-04-30 12:05:00,7.74,320.9,7.74,15.8,0,0,0,4.063,-69,35.0134363,-106.6737675
2022-04-30 12:07:00,7.74,321.4,7.75,15.9,0,0,0,4.063,-57,35.0129405,-106.6749456
2022-04-30 12:09:00,7.73,320.8,7.73,15.9,0,0,0,4.063,-57,35.0125084,-106.6764365
2022-04-30 12:11:00,7.72,324.9,7.72,15.9,0,0,0,4.063,-45,35.0118259,-106.6778554
2022-04-30 12:13:00,7.71,326.5,7.71,16,0,0,0,4.063,-45,35.0107687,-106.6785641
2022-04-30 12:15:00,7.7,324,7.73,16,0,0,0,4.063,-45,35.0097096,-106.6790496
2022-04-30 12:17:00,7.73,323.1,7.74,16,0,0,0,4.063,-57,35.0087724,-106.6794647
2022-04-30 12:19:00,7.73,321.2,7.74,16,0,0,0,4.063,-57,35.0075784,-106.6798182
2022-04-30 12:21:00,7.74,321,7.74,16,0,0,0,4.063,-57,35.0067023,-106.6808191
2022-04-30 12:23:00,7.75,320.8,7.75,16,0,0,0,4.063,-57,35.0060008,-106.6816755
2022-04-30 12:26:00,7.73,322,7.74,16.1,0,0,0,4.063,-57,35.0054523,-106.6834724
2022-04-30 12:28:00,7.74,320.9,7.75,16.1,0,0,0,4.063,-57,35.0046279,-106.6843986
2022-04-30 12:31:00,7.75,320.4,7.75,16.2,0,0,0,4.063,-69,35.0033294,-106.6854394
2022-04-30 12:34:00,7.74,321.3,7.74,16.2,0,0,0,4.063,-69,35.0019016,-106.6859946
2022-04-30 12:37:00,7.73,321.4,7.74,16.2,0,0,0,4.063,-57,35.0006257,-106.6865966
2022-04-30 12:40:00,7.74,320.9,7.75,16.2,0,0,0,4.063,-57,34.9994008,-106.6878036
2022-04-30 12:43:00,7.75,319.9,7.75,16.3,0,0,0,4.063,-69,34.9978506,-106.6881003
2022-04-30 12:46:00,7.75,322.2,7.74,16.3,0,0,0,4.063,-69,34.9963248,-106.6879923
2022-04-30 12:48:00,7.69,322.1,7.74,16.3,0,0,0,4.048,-57,34.9951192,-106.687518
2022-04-30 12:51:00,7.73,322,7.74,16.4,0,0,0,4.063,-69,34.9936479,-106.6865677
2022-04-30 12:53:00,7.72,322.6,7.74,16.4,0,0,0,4.048,-45,34.9927671,-106.6862482
2022-04-30 12:56:00,7.72,326,7.73,16.5,0,0,0,4.063,-45,34.9910709,-106.6858337
2022-04-30 12:59:00,7.69,325.4,7.72,16.5,0,0,0,4.063,-45,34.9894702,-106.6862339
2022-04-30 13:02:00,7.7,325,7.72,16.6,0,0,0,4.048,-69,34.9884749,-106.686306
2022-04-30 13:05:00,7.71,325,7.72,16.6,0,0,0,4.063,-57,34.988449,-106.6863436
2022-04-30 13:08:00,7.69,324.8,7.72,16.7,0,0,0,4.048,-69,34.9878937,-106.6864553
2022-04-30 13:10:00,7.7,323.9,7.72,16.7,0,0,0,4.048,-81,34.9870021,-106.6865307
2022-04-30 13:13:00,7.7,323.6,7.73,16.7,0,0,0,4.048,-69,34.9858414,-106.6865536
2022-04-30 13:16:00,7.7,325.5,7.72,16.8,0,0,0,4.048,-69,34.9844505,-106.6868545
2022-04-30 13:19:00,7.66,325,7.72,16.8,0,0,0,4.048,-45,34.9834582,-106.6872339
2022-04-30 13:21:00,7.67,327.2,7.72,16.9,0,0,0,4.048,-69,34.9825357,-106.6873742
2022-04-30 13:23:00,7.64,340.1,7.66,17,0,0,0,4.033,-57,34.9813225,-106.6878029
2022-04-30 13:26:00,7.62,340.1,7.66,17,0,0,0,4.048,-69,34.9800275,-106.6883881
2022-04-30 13:28:00,7.61,339.3,7.66,17,0,0,0,4.048,-57,34.9792325,-106.6888735
2022-04-30 13:31:00,7.61,338.4,7.67,17.1,0,0,0,4.048,-57,34.9788738,-106.6891451
2022-04-30 13:33:00,7.61,339.1,7.67,17.1,0,0,0,4.048,-57,34.9788782,-106.689145
2022-04-30 13:35:00,7.62,337.3,7.68,17.2,0,0,0,4.048,-93,34.9784843,-106.6894072
2022-04-30 13:38:00,7.64,336.2,7.69,17.1,0,0,0,4.048,-69,34.9772253,-106.6898305
2022-04-30 13:40:00,7.61,341.7,7.66,17.2,0,0,0,4.048,-57,34.9760967,-106.6901529
2022-04-30 13:42:00,7.6,340.6,7.66,17.2,0,0,0,4.048,-57,34.9754139,-106.6901411
2022-04-30 13:45:00,7.57,351.2,7.65,17.3,0,0,0,4.048,-57,34.9749514,-106.6901682
2022-04-30 13:47:00,7.58,348.3,7.64,17.3,0,0,0,4.048,-69,34.9735062,-106.6901051
2022-04-30 13:49:00,7.55,348.8,7.64,17.3,0,0,0,4.048,-57,34.972606,-106.6896732
2022-04-30 13:52:00,7.57,350,7.64,17.4,0,0,0,4.048,-45,34.9715916,-106.6889847
2022-04-30 13:55:00,7.58,346.8,7.71,17.4,0,0,0,4.048,-57,34.9702234,-106.6885151
2022-04-30 13:58:00,7.62,329,7.71,17.4,0,0,0,4.048,-57,34.969038,-106.688819
2022-04-30 14:00:00,7.63,326,7.71,17.4,0,0,0,4.048,-69,34.9681361,-106.6885106
2022-04-30 14:03:00,7.64,327,7.71,17.4,0,0,0,4.048,-45,34.9665117,-106.6881683
2022-04-30 14:05:00,7.61,332.7,7.7,17.4,0,0,0,4.033,-93,34.9655552,-106.6875647
2022-04-30 14:08:00,7.65,327.2,7.72,17.4,0,0,0,4.048,-93,34.9638337,-106.6871936
2022-04-30 14:11:00,7.65,325.1,7.72,17.4,0,0,0,4.048,-93,34.9623816,-106.6864227
2022-04-30 14:14:00,7.62,326.9,7.72,17.4,0,0,0,4.048,-69,34.9604197,-106.6857801
2022-04-30 14:16:00,7.63,324.4,7.73,17.4,0,0,0,4.048,-69,34.9591791,-106.6857758
2022-04-30 14:19:00,7.63,325.3,7.26,18.4,0,0,0,4.048,-57,34.9584235,-106.6861969
2022-04-30 14:21:00,7.78,6.6,5.9,16.1,0,0,0,4.033,-57,34.9583282,-106.6863018
2022-04-30 14:23:00,7.92,6.7,7.49,15.4,0,0,0,4.048,-57,34.9584197,-106.6863188
2022-04-30 14:25:00,7.98,6.2,7.37,15,0,0,0,4.033,-57,34.9583516,-106.6863449
